van_id,visit_date,outlet_id,lng,lat,check_in_at,check_out_at,travelled_time,created_at
V2XV001,7/7/2023,635994,100.7218,4.85335,2023-07-07 11:06:00.000 +0800,2023-07-07 17:52:19.421 +0800,31:14.4,2023-07-07 11:06:00.097 +0800
V2XV001,7/7/2023,705968,100.74353,4.84817,2023-07-07 12:21:05.000 +0800,2023-07-07 12:21:00.626 +0800,-00:00:13.374,2023-07-07 12:21:05.611 +0800
V2XV001,7/7/2023,824935,100.75008,4.83959,2023-07-07 12:21:14.000 +0800,2023-07-07 12:21:07.564 +0800,-00:00:19.436,2023-07-07 12:21:14.054 +0800
V2XV001,7/7/2023,834699,100.743484,4.84965,2023-07-07 12:21:27.000 +0800,2023-07-07 12:21:15.612 +0800,-00:00:18.388,2023-07-07 12:21:27.627 +0800
V2XV001,7/7/2023,21114108,100.74403,4.84909,2023-07-07 12:21:34.000 +0800,2023-07-07 12:21:29.095 +0800,-00:00:11.905,2023-07-07 12:21:34.248 +0800
V2XV001,7/7/2023,621841,100.74452,4.84956,2023-07-07 12:21:41.000 +0800,2023-07-07 12:21:36.485 +0800,-00:00:11.515,2023-07-07 12:21:41.746 +0800
V2XV001,7/7/2023,21114108,100.74403,4.84909,2023-07-07 12:21:52.000 +0800,2023-07-07 17:59:39.449 +0800,37:46.4,2023-07-07 12:21:52.226 +0800
V2XV001,7/7/2023,621841,100.74452,4.84956,2023-07-07 12:21:53.000 +0800,2023-07-07 16:31:00.000 +0800,0:05:07,2023-07-07 12:21:54.231 +0800
V2XV001,7/7/2023,21110051,100.74262,4.84864,2023-07-07 16:25:53.000 +0800,2023-07-07 16:25:47.702 +0800,-00:00:11.298,2023-07-07 16:25:53.001 +0800
V2XV001,7/7/2023,21101069,100.75128,4.84286,2023-07-07 16:25:59.000 +0800,2023-07-07 16:25:54.524 +0800,-00:00:25.476,2023-07-07 16:25:59.536 +0800
V2XV001,7/7/2023,820904,100.75654,4.84232,2023-07-07 16:26:20.000 +0800,2023-07-07 16:26:15.170 +0800,-00:00:10.83,2023-07-07 16:26:20.151 +0800
V2XV001,7/7/2023,21110058,100.74401,4.84987,2023-07-07 16:26:26.000 +0800,2023-07-07 16:26:21.663 +0800,-00:00:15.337,2023-07-07 16:26:26.668 +0800
V2XV001,7/7/2023,21110057,100.7439,4.85032,2023-07-07 16:26:37.000 +0800,2023-07-07 16:26:28.082 +0800,-00:00:15.918,2023-07-07 16:26:37.991 +0800
V2XV001,7/7/2023,21110117,100.74205,4.84916,2023-07-07 16:26:44.000 +0800,2023-07-07 16:26:39.586 +0800,-00:00:12.414,2023-07-07 16:26:44.544 +0800
V2XV001,7/7/2023,814373,100.74208,4.84922,2023-07-07 16:26:52.000 +0800,2023-07-07 16:26:47.294 +0800,-00:00:12.706,2023-07-07 16:26:52.283 +0800
V2XV001,7/7/2023,21110046,100.74212,4.84927,2023-07-07 16:27:00.000 +0800,2023-07-07 16:26:55.115 +0800,-00:00:11.885,2023-07-07 16:27:00.085 +0800
V2XV001,7/7/2023,21110078,100.74208,4.84922,2023-07-07 16:27:07.000 +0800,2023-07-07 16:27:02.763 +0800,-00:00:12.237,2023-07-07 16:27:07.735 +0800
V2XV001,7/7/2023,828290,100.74208,4.84894,2023-07-07 16:27:15.000 +0800,2023-07-07 16:27:10.023 +0800,-00:00:52.977,2023-07-07 16:27:15.020 +0800
V2XV001,7/7/2023,21151024,100.74122,4.84819,2023-07-07 16:28:03.000 +0800,2023-07-07 16:27:58.628 +0800,-00:00:16.372,2023-07-07 16:28:03.647 +0800
V2XV001,7/7/2023,21114047,100.74231,4.85398,2023-07-07 16:28:15.000 +0800,2023-07-07 16:28:17.916 +0800,-00:00:13.084,2023-07-07 16:28:15.787 +0800
V2XV001,7/7/2023,21101168,100.74315,4.85332,2023-07-07 16:28:31.000 +0800,2023-07-07 16:28:41.366 +0800,-00:00:12.634,2023-07-07 16:28:31.412 +0800
V2XV001,7/7/2023,360882,100.74391,4.85021,2023-07-07 16:28:54.000 +0800,2023-07-07 16:30:47.112 +0800,01:45.1,2023-07-07 16:28:54.068 +0800
V2XV001,7/7/2023,807887,100.74339,4.85184,2023-07-07 16:29:02.000 +0800,2023-07-07 16:28:57.627 +0800,-00:02:02.373,2023-07-07 16:29:02.617 +0800
V2XV001,7/7/2023,21101168,100.74315,4.85332,2023-07-07 16:31:10.000 +0800,2023-07-08 15:11:51.000 +0800,1 day 15:11:51,2023-07-07 16:31:10.159 +0800
V2XV001,7/7/2023,N0003926,100.73054,4.8650618,2023-07-07 00:00:00.000 +0800,2023-07-07 00:00:00.000 +0800,6:59:32,2023-07-07 19:29:00.002 +0800
