van_id,visit_date,outlet_id,lng,lat,check_in_at,check_out_at,travelled_time,created_at
V2XV001,6/7/2023,21101015,100.72451,4.84125,2023-07-06 17:00:28.000 +0800,2023-07-06 17:00:59.677 +0800,00:19.7,2023-07-06 17:00:28.715 +0800
V2XV001,6/7/2023,597428,100.71922,4.84213,2023-07-06 17:00:40.000 +0800,2023-07-06 17:01:13.036 +0800,00:02.0,2023-07-06 17:00:40.972 +0800
V2XV001,6/7/2023,590172,100.71938,4.84207,2023-07-06 17:01:11.000 +0800,2023-07-06 17:01:06.209 +0800,-00:00:16.791,2023-07-06 17:01:11.773 +0800
V2XV001,6/7/2023,718010,100.71928,4.84672,2023-07-06 17:01:23.000 +0800,2023-07-06 17:01:18.875 +0800,-00:00:17.125,2023-07-06 17:01:23.677 +0800
V2XV001,6/7/2023,21101022,100.72116,4.84435,2023-07-06 17:01:36.000 +0800,2023-07-06 17:01:24.913 +0800,-00:00:28.087,2023-07-06 17:01:36.127 +0800
V2XV001,6/7/2023,735768,100.72073,4.84504,2023-07-06 17:01:53.000 +0800,2023-07-06 17:04:12.463 +0800,02:12.5,2023-07-06 17:01:53.357 +0800
V2XV001,6/7/2023,21110043,100.74137,4.84993,2023-07-06 17:02:00.000 +0800,2023-07-06 17:01:54.789 +0800,-00:00:11.211,2023-07-06 17:02:00.710 +0800
V2XV001,6/7/2023,21101158,100.72135,4.844,2023-07-06 17:02:06.000 +0800,2023-07-06 17:02:01.857 +0800,-00:00:10.143,2023-07-06 17:02:06.608 +0800
V2XV001,6/7/2023,21110044,100.74142,4.84997,2023-07-06 17:02:12.000 +0800,2023-07-06 17:02:08.004 +0800,-00:00:09.996,2023-07-06 17:02:12.805 +0800
V2XV001,6/7/2023,21111069,100.73702,4.84882,2023-07-06 17:02:18.000 +0800,2023-07-06 17:02:20.100 +0800,-00:00:14.9,2023-07-06 17:02:18.922 +0800
V2XV001,6/7/2023,21110018,100.74142,4.85272,2023-07-06 17:02:35.000 +0800,2023-07-06 17:02:30.509 +0800,-00:00:10.491,2023-07-06 17:02:35.290 +0800
V2XV001,6/7/2023,21110101,100.74245,4.85105,2023-07-06 17:02:41.000 +0800,2023-07-06 17:02:36.910 +0800,-00:00:11.09,2023-07-06 17:02:41.721 +0800
V2XV001,6/7/2023,21111038,100.74001,4.84942,2023-07-06 17:02:48.000 +0800,2023-07-06 17:02:43.314 +0800,-00:00:14.686,2023-07-06 17:02:48.245 +0800
V2XV001,6/7/2023,21111039,100.74028,4.849441,2023-07-06 17:02:58.000 +0800,2023-07-06 17:02:52.303 +0800,-00:00:12.697,2023-07-06 17:02:58.232 +0800
V2XV001,6/7/2023,21111006,100.74037,4.84978,2023-07-06 17:03:05.000 +0800,2023-07-06 17:02:59.903 +0800,-00:00:12.097,2023-07-06 17:03:05.057 +0800
V2XV001,6/7/2023,21110070,100.74177,4.85097,2023-07-06 17:03:12.000 +0800,2023-07-06 17:03:06.701 +0800,-00:00:13.299,2023-07-06 17:03:12.384 +0800
V2XV001,6/7/2023,21111004,100.74031,4.85011,2023-07-06 17:03:20.000 +0800,2023-07-06 17:03:14.411 +0800,-00:00:14.589,2023-07-06 17:03:20.888 +0800
V2XV001,6/7/2023,21111011,100.74037,4.84978,2023-07-06 17:03:29.000 +0800,2023-07-06 17:03:23.133 +0800,-00:00:13.867,2023-07-06 17:03:29.371 +0800
V2XV001,6/7/2023,21111026,100.74033,4.85022,2023-07-06 17:03:37.000 +0800,2023-07-06 17:03:31.107 +0800,-00:00:13.893,2023-07-06 17:03:37.050 +0800
V2XV001,6/7/2023,21111020,100.7403,4.84996,2023-07-06 17:03:45.000 +0800,2023-07-06 17:03:40.028 +0800,-00:00:11.972,2023-07-06 17:03:45.289 +0800
V2XV001,6/7/2023,21111105,100.74039,4.85014,2023-07-06 17:03:52.000 +0800,2023-07-06 17:03:47.300 +0800,-00:00:12.7,2023-07-06 17:03:52.711 +0800
V2XV001,6/7/2023,21114052,100.74605,4.857,2023-07-06 17:04:00.000 +0800,2023-07-06 17:03:55.176 +0800,-00:00:14.824,2023-07-06 17:04:00.433 +0800
V2XV001,6/7/2023,698148,100.73873,4.85025,2023-07-06 17:04:10.000 +0800,2023-07-06 17:04:02.937 +0800,-00:00:27.063,2023-07-06 17:04:10.680 +0800
