van_id,visit_date,outlet_id,lng,lat,created_at
V2XV002,1/7/2023,21109160,100.73991,4.82166,2023-07-01 10:09:10.039 +0800
V2XV002,1/7/2023,543051,100.73253,4.82602,2023-07-01 10:08:17.975 +0800
V2XV002,1/7/2023,21109083,100.73136,4.8244,2023-07-01 10:06:14.852 +0800
V2XV002,1/7/2023,816366,100.72624,4.8199,2023-07-01 09:58:24.825 +0800
V2XV002,1/7/2023,599909,100.72624,4.82045,2023-07-01 09:55:43.764 +0800
V2XV002,1/7/2023,21109104,100.72609,4.82057,2023-07-01 09:50:16.856 +0800
V2XV002,1/7/2023,21109085,100.73171,4.8243,2023-07-01 09:40:22.337 +0800
V2XV002,1/7/2023,21109090,100.7319,4.82518,2023-07-01 09:33:07.639 +0800
V2XV002,1/7/2023,21113047,100.72549,4.82861,2023-07-01 09:22:43.140 +0800
V2XV002,1/7/2023,21106144,100.72527,4.82898,2023-07-01 09:08:18.284 +0800
V2XV003,1/7/2023,21109059,100.70756,4.82127,2023-07-01 09:48:03.215 +0800
V2XV003,1/7/2023,266406,100.71363,4.80781,2023-07-01 09:46:20.530 +0800
V2XV003,1/7/2023,21109102,100.72592,4.81314,2023-07-01 09:45:23.029 +0800
V2XV003,1/7/2023,367283,100.71893,4.82697,2023-07-01 09:44:15.343 +0800
V2XV003,1/7/2023,793528,100.70808,4.81785,2023-07-01 09:43:19.022 +0800
V2XV003,1/7/2023,21109043,100.70742,4.81883,2023-07-01 09:39:54.186 +0800
V2XV003,1/7/2023,21109126,100.70716,4.81922,2023-07-01 09:38:14.845 +0800
V2XV003,1/7/2023,21109152,100.70697,4.81937,2023-07-01 09:37:19.953 +0800
V2XV003,1/7/2023,250321,100.72146,4.78688,2023-07-01 09:25:47.939 +0800
V2XV003,1/7/2023,21113075,100.72207,4.78679,2023-07-01 09:24:33.364 +0800
V2XV003,1/7/2023,21113074,100.7222,4.78675,2023-07-01 09:23:33.311 +0800
V2XV003,1/7/2023,21113069,100.71991,4.79109,2023-07-01 09:21:48.071 +0800
V2XV003,1/7/2023,604534,100.7238,4.80982,2023-07-01 09:18:45.998 +0800
V2XV003,1/7/2023,21109095,100.72577,4.81259,2023-07-01 09:17:57.697 +0800
V2XV003,1/7/2023,21109099,100.72606,4.81296,2023-07-01 09:17:02.684 +0800
V2XV003,1/7/2023,470312,100.70777,4.81833,2023-07-01 08:52:45.908 +0800
V2XV004,1/7/2023,21115026,100.68619,4.86471,2023-07-01 13:23:55.168 +0800
V2XV004,1/7/2023,744010,100.54035,5.0110426,2023-07-01 13:00:55.543 +0800
V2XV004,1/7/2023,501711,100.54089,5.01141,2023-07-01 12:54:10.213 +0800
V2XV004,1/7/2023,21701076,100.53512,5.0132,2023-07-01 12:45:19.287 +0800
V2XV004,1/7/2023,363505,100.53533,5.0130835,2023-07-01 12:44:19.871 +0800
V2XV004,1/7/2023,21104117,100.73402,4.8147,2023-07-01 12:22:06.120 +0800
V2XV004,1/7/2023,724628,100.58852,5.05166,2023-07-01 12:11:12.791 +0800
V2XV004,1/7/2023,305330,100.58711,5.05011,2023-07-01 11:59:33.213 +0800
